Factor_Strategy_RGX,Constraint_Type,Tatiana_Factor_Strategy,Tatiana_Category,
"increas[a-z]* [[a-z]*\s{0,1}]{0,1}rate(s|)",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
indigen[a-z]* group[a-z]*,Human Capacity,Demographic Factors,Individual AC,
indigen[a-z]* people,Human Capacity,Demographic Factors,Individual AC,
indigen[a-z]* person,Human Capacity,Demographic Factors,Individual AC,
indigeno(u|)s practice(s|),Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
individual farmer,Economic&Financial,Farm Size,Individual AC,
"informal[a-z]* [[a-z]*\s{0,1}]{0,1}water",Technology&Infrastructure,Access To Irrigation,Individual AC,
infrast[a-z]* damag[a-z]*,Hazard,Damage Experience,Hazard Experience,
infrastructure facilit[a-z]*,Technology&Infrastructure,Access To Infrastructure,Individual AC,
innovation,Technology&Infrastructure,Access To Technology,Technology,
"insecur[a-z]* [[a-z]*\s{0,1}]{0,1} water",Technology&Infrastructure,Access To Irrigation,Individual AC,
"institution[a-z]* [[a-z]*\s{0,1}]{0,1}factor",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
institution[a-z]* barrier(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
institution[a-z]* connection(s|),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
institution[a-z]* constrain[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
institution[a-z]* intervent[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
institution[a-z]* norm(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
institution[a-z]* role(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
insufficient fund[a-z]*,Economic&Financial,Economic Factors,Individual AC,
"intensification [[a-z]*\s{0,1}]{0,1}production",Hazard,Damage Experience,Hazard Experience,
interaction communit[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
interest rate(s|),Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
"international [[a-z]*\s{0,1}]{0,1}organization(s|)",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"international [[a-z]*\s{0,1}]{0,1}partner",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
international aid[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
internet,Technology&Infrastructure,Access To Technology,Technology,
investment[a-z]*,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
irrigat[a-z]*,Technology&Infrastructure,Access To Irrigation,Individual AC,
kinship,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
knowledge construction,Human Capacity,Farming Experience,Individual AC,
knowledge develop[a-z]*,Human Capacity,Farming Experience,Individual AC,
knowledge funda[a-z]*,Information&Awareness,Access To Information,Knowledge and Information,
knowledge skill(s|),Human Capacity,Farming Experience,Individual AC,
labo(u|)r(|-|\s)time,Economic&Financial,Farm Characteristics,Individual AC,
"lack [[a-z]*\s{0,1}]{0,1}access",Technology&Infrastructure,Access To Infrastructure,Individual AC,
"lack [[a-z]*\s{0,1}]{0,1}capital",Economic&Financial,Economic Factors,Individual AC,
"lack [[a-z]*\s{0,1}]{0,1}polic[a-z]*",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"lack[a-z]* [[a-z]*\s{0,1}]{0,1}option(s|)",Psychological,Psychological Barriers,Psychological factors,
land(s|-|)owner(s|),Economic&Financial,Owner,Individual AC,
land(s|-|)slide(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
large damage,Hazard,Damage Experience,Hazard Experience,
latin[a-z]*,Human Capacity,Demographic Factors,Individual AC,
leader[a-z]*,Information&Awareness,Network,Institutional AC - Informal Institutions,
legislat[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"level [[a-z]*\s{0,1}]{0,1}education",Human Capacity,Education,Individual AC,
"level [[a-z]*\s{0,1}]{0,1}literacy",Human Capacity,Education,Individual AC,
liquidity constrain[a-z]*,Economic&Financial,Economic Factors,Individual AC,
literacy level(s|),Human Capacity,Education,Individual AC,
"livelihood[a-z]* [[a-z]*\s{0,1}]{0,1}vulnerab[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"local [[a-z]*\s{0,1}]{0,1}context(s|)",Social&Cultural,Local Context,Individual AC,
local area(s|),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
local farmer(s|),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
local government[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
local initiative(s|),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
local network,Information&Awareness,Network,Institutional AC - Informal Institutions,
"los[a-z]* ([a-z\s]*)^{0,1}artic ([a-z\s]*)^{0,1}ice[a-z]*",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"low [[a-z]*\s{0,1}]{0,1}farmer",Economic&Financial,Farm Size,Individual AC,
managerial capacit[a-z]*,Human Capacity,Farming Experience,Individual AC,
mangrove plantation[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
marginalized,Economic&Financial,Economic Factors,Individual AC,
marital status,Human Capacity,Demographic Factors,Individual AC,
"market [[a-z]*\s{0,1}]{0,1}distance(s|)",Economic&Financial,Access To Market Input Output,Individual AC,
market failure,Economic&Financial,Economic Factors,Individual AC,
"market[a-z]* [[a-z]*\s{0,1}]{0,1}integration[a-z]*",Economic&Financial,Economic Factors,Individual AC,
market[a-z]* distance[a-z]*,Economic&Financial,Economic Factors,Individual AC,
"membership [[a-z]*\s{0,1}]{0,1}group",Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
micro(\s|-|)credit(s|),Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
mone[a-z]* resource(|s),Economic&Financial,Economic Factors,Individual AC,
monsoon variability,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
mutual respect(s|),Social&Cultural,Local Context,Individual AC,
national government[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
national polic[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
national strateg[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
natural calamit[a-z]*,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
natural disaster(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
natural hazard(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
negative affect[a-z]*,Psychological,Psychological Drivers,Psychological factors,
neighbo(u|)r(s|),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
network configuration(s|),Information&Awareness,Network,Institutional AC - Informal Institutions,
network density,Information&Awareness,Network,Institutional AC - Informal Institutions,
network relation[a-z]*,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
new knowledge,Information&Awareness,Access To Information,Knowledge and Information,
ngo(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
non(-|\s|)climat[a-z]* factor(s|),Hazard,Non-Climate Related Hazard,Hazard Experience,
"number [[a-z]*\s{0,1}]{0,1}family",Human Capacity,Demographic Factors,Individual AC,
"number [[a-z]*\s{0,1}]{0,1}worker[a-z]*",Technology&Infrastructure,Access To Infrastructure,Individual AC,
ocean[a-z]* acidification,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
old[a-z]* farmer(s|),Human Capacity,Age,Individual AC,
opportunit[a-z]* window,Tcca-Specific ,TCCA-specific ,TCCA-specific ,
oppressive structure(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
outcome(\s|-|)efficacy,Psychological,Psychological Drivers,Psychological factors,
participation social,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
pay(\s|-|)off,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
"people [[a-z]*\s{0,1}]{0,1}color",Human Capacity,Demographic Factors,Individual AC,
"people [[a-z]*\s{0,1}]{0,1}race",Human Capacity,Demographic Factors,Individual AC,
perceiv[a-z]* efficacy,Psychological,Psychological Drivers,Psychological factors,
perceive(d|) control,Psychological,Psychological Barriers,Psychological factors,
perceive(d|) damage(s|),Hazard,Damage Experience,Hazard Experience,
perceive(d|) inabilit[a-z]*,Psychological,Psychological Barriers,Psychological factors,
perceive(d|) probabilit[a-z]*,Psychological,Psychological Drivers,Psychological factors,
perceive(d|) responsibilit[a-z]*,Psychological,Psychological Drivers,Psychological factors,
perceive(d|) risk(s|),Psychological,Psychological Drivers,Psychological factors,
"performance [[a-z]*\s{0,1}]{0,1}expectanc[a-z]*",Economic&Financial,Economic Factors,Individual AC,
place attachment,Psychological,Psychological Drivers,Psychological factors,
planned ad(a|o)pt[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
polic[a-z]* will[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
policies,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
policies tailor,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
policy,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
policy actor(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
policy design,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
policy network,Information&Awareness,Network,Institutional AC - Informal Institutions,
policy respons[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"political [[a-z]*\s{0,1}]{0,1}organ[a-z]*",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"political [[a-z]*\s{0,1}]{0,1}stress",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"political [[a-z]*\s{0,1}]{0,1}trend",Economic&Financial,Economic Factors,Individual AC,
"poor [[a-z]*\s{0,1}]{0,1}income",Economic&Financial,Income,Individual AC,
"poor [[a-z]*\s{0,1}]{0,1}stakeholder(s|)",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
poor individual(s|),Economic&Financial,Economic Factors,Individual AC,
"poor[a-z]* [[a-z]*\s{0,1}]{0,1}farm[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"poor[a-z]* [[a-z]*\s{0,1}]{0,1}household[a-z]*",Economic&Financial,Economic Factors,Individual AC,
population density,Human Capacity,Demographic Factors,Individual AC,
population grow[a-z]*,Human Capacity,Demographic Factors,Individual AC,
population pressure,Human Capacity,Demographic Factors,Individual AC,
population sensitive,Human Capacity,Demographic Factors,Individual AC,
positive emotion,Psychological,Psychological Drivers,Psychological factors,
possesion(s|),Economic&Financial,Assets,Individual AC,
poverty trap(s|),Tcca-Specific ,TCCA-specific ,TCCA-specific ,
"practice [[a-z]*\s{0,1}]{0,1}province",Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
precipitation(s|) variability,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
present knowledge,Human Capacity,Farming Experience,Individual AC,
private sector,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
"production[a-z]* [[a-z]*\s{0,1}]{0,1}cost[a-z]*",Economic&Financial,Economic Factors,Individual AC,
productive capacity,Technology&Infrastructure,Access To Technology,Technology,
profession[a-z]* network(|s),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
prone area(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
provisioning service,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
psychological barrier(s|),Psychological,Psychological Barriers,Psychological factors,
psychological driver(s|),Psychological,Psychological Drivers,Psychological factors,
psychological factor,Psychological,Psychological Drivers,Psychological factors,
psychological stress,Psychological,Psychological Barriers,Psychological factors,
"public [[a-z]*\s{0,1}]{0,1}system[a-z]*",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
public ad(a|o)pt[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"quality [[a-z]*\s{0,1}]{0,1}soil",Hazard,Damage Experience,Hazard Experience,
"rainfall [[a-z]*\s{0,1}]{0,1}variability",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
reciprocal(|\s|-)tie(s|),Information&Awareness,Network,Institutional AC - Informal Institutions,
"reduc[a-z]* [[a-z]*\s{0,1}]{0,1}population",Human Capacity,Demographic Factors,Individual AC,
regime change[a-z]*,Tcca-Specific ,TCCA-specific ,TCCA-specific ,
regime shift[a-z]*,Tcca-Specific ,TCCA-specific ,TCCA-specific ,
regional government[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
regional network,Information&Awareness,Network,Institutional AC - Informal Institutions,
regulation[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
relationship communit[a-z]*,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
religion,Human Capacity,Demographic Factors,Individual AC,
religious,Human Capacity,Demographic Factors,Individual AC,
remittance(s|),Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
resilienc[a-z]* capacit[a-z]*,Human Capacity,Adaptive Capacity,Individual AC,
resourc[a-z]*,Economic&Financial,Assets,Individual AC,
resource endowment,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
response(\s|-|)efficacy,Psychological,Psychological Drivers,Psychological factors,
"return[a-z]* [[a-z]*\s{0,1}]{0,1}investment(s|)",Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
"return[a-z]* [[a-z]*\s{0,1}]{0,1}period(s|)",Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
ris[a-z]* ocean[a-z]* temperatur[a-z]*,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
ris[a-z]* sea(\s|-|)level,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
risk averse,Psychological,Psychological Drivers,Psychological factors,
road network(s|),Technology&Infrastructure,Access To Infrastructure,Individual AC,
"role [[a-z]*\s{0,1}]{0,1}institution[a-z]*",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
rural communit[a-z]*,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
rural develop[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
rural life,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
saline intrusion,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
saline water,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
saturated soil,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
saving(s|),Economic&Financial,Assets,Individual AC,
"scarc[a-z]* [[a-z]*\s{0,1}]{0,1} water",Technology&Infrastructure,Access To Irrigation,Individual AC,
scepticism,Psychological,Psychological Barriers,Psychological factors,
scientif[a-z]* knowledge,Information&Awareness,Access To Information,Knowledge and Information,
sea(\s|-|)level ris[a-z]*,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
self(\s|-|)efficacy,Psychological,Psychological Drivers,Psychological factors,
self(|-|\s)sufficien[a-z]*,Human Capacity,Farming Experience,Individual AC,*
severe climat[a-z]*,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"shift[a-z]* [[a-z]*\s{0,1}]{0,1}regime",Tcca-Specific ,TCCA-specific ,TCCA-specific ,
"shortage [[a-z]*\s{0,1}]{0,1}farm[a-z]*",Hazard,Non-Climate Related Hazard,Hazard Experience,
sibling(s|),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
sick[a-z]* animal[a-z]*,Hazard,Non-Climate Related Hazard,Hazard Experience,
sick[a-z]* plant[a-z]*,Hazard,Non-Climate Related Hazard,Hazard Experience,
situation assessment,Psychological,Psychological Drivers,Psychological factors,
skill abilit[a-z]*,Human Capacity,Farming Experience,Individual AC,
small(\s|-|)holder farm[a-z]*,Economic&Financial,Farm Characteristics,Individual AC,
small(\s|-|)product[a-z]*,Economic&Financial,Farm Characteristics,Individual AC,
small(\s|-|)scale farm[a-z]*,Economic&Financial,Farm Characteristics,Individual AC,
"small[a-z]* [[a-z]*\s{0,1}]{0,1}farm[a-z]*",Economic&Financial,Farm Characteristics,Individual AC,
soci[a-z]* standard(s|),Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
social behavi[a-z]*,Social&Cultural,Local Context,Individual AC,
social benefit(s|),Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
social capital,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
social change,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
social cohesion,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
social economic,Economic&Financial,Economic Factors,Individual AC,
social expectation[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
social feedback(s|),Information&Awareness,Network,Institutional AC - Informal Institutions,
social identi[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
social learning,Psychological,Psychological Drivers,Psychological factors,
social link(|s),Information&Awareness,Network,Institutional AC - Informal Institutions,
social network(|s),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
social norm(s|),Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
social organization(s|),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
social participation,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
social re(-|\s|)organization,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
social relation[a-z]*,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
social resilienc[a-z]*,Human Capacity,Adaptive Capacity,Individual AC,
social welfare,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
social(s|) tie(s|),Information&Awareness,Network,Institutional AC - Informal Institutions,
"social[a-z]* [[a-z]*\s{0,1}]{0,1}influence[a-z]*",Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
"social[a-z]* [[a-z]*\s{0,1}]{0,1}norm[a-z]*",Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
"social[a-z]* [[a-z]*\s{0,1}]{0,1}value[a-z]*",Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
socio(-|\s|)[a-z]*,Human Capacity,Demographic Factors,Individual AC,
socio(-|\s|)cultur[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
"soil [[a-z]*\s{0,1}]{0,1}erosion",Hazard,Damage Experience,Hazard Experience,
soil infertil[a-z]*,Hazard,Damage Experience,Hazard Experience,
soil quality,Hazard,Damage Experience,Hazard Experience,
soil salin[a-z]*,Hazard,Damage Experience,Hazard Experience,
solar electric[a-z]*,Technology&Infrastructure,Access To Infrastructure,Individual AC,
solidarity,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
stakeholder(s|) engagement,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
stakeholder(s|) participation,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
state govern[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
storage facilit[a-z]*,Technology&Infrastructure,Access To Infrastructure,Individual AC,
storm[a-z]*,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
structural change(s|),Tcca-Specific ,TCCA-specific ,TCCA-specific ,
sub(\s|-|)regional network(s|),Information&Awareness,Network,Institutional AC - Informal Institutions,
subjective norm(s|),Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
subsid[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"subsistence [[a-z]*\s{0,1}]{0,1}agricultur[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"subsistence[a-z]* [[a-z]*\s{0,1}]{0,1}farm[a-z]*",Economic&Financial,Economic Factors,Individual AC,
supply tool(|s),Technology&Infrastructure,Access To Infrastructure,Individual AC,
support[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
technical skill,Human Capacity,Farming Experience,Individual AC,
"technolog[a-z]* [[a-z]*\s{0,1}]{0,1}access[a-z]*",Technology&Infrastructure,Access To Technology,Technology,
technological device,Technology&Infrastructure,Access To Technology,Technology,
tornado[a-z]*,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
traditional authorit[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
travel[a-z]* cost[a-z]*,Economic&Financial,Access To Market Input Output,Individual AC,
tropical(\s|-|)storm[a-z]*,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
typhoon[a-z]*,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
unaffordable,Economic&Financial,Economic Factors,Individual AC,
"uncertaint[a-z]* [[a-z]*\s{0,1}]{0,1}climat[a-z]*",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
uneven precipitation,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
valuables,Economic&Financial,Assets,Individual AC,
viral adoption(s|),Tcca-Specific ,TCCA-specific ,TCCA-specific ,
viral spread[a-z]*,Tcca-Specific ,TCCA-specific ,TCCA-specific ,
viral uptake(s|),Tcca-Specific ,TCCA-specific ,TCCA-specific ,
"vulnerab[a-z]* [[a-z]*\s{0,1}]{0,1}build[a-z]*",Hazard,Damage Experience,Hazard Experience,
"vulnerab[a-z]* [[a-z]*\s{0,1}]{0,1}household[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"vulnerab[a-z]* [[a-z]*\s{0,1}]{0,1}population(s|)",Human Capacity,Demographic Factors,Individual AC,
"water [[a-z]*\s{0,1}]{0,1}access[a-z]*",Technology&Infrastructure,Access To Irrigation,Individual AC,
"water [[a-z]*\s{0,1}]{0,1}allocation(s|)",Technology&Infrastructure,Access To Irrigation,Individual AC,
"water [[a-z]*\s{0,1}]{0,1}availab[a-z]*",Technology&Infrastructure,Access To Irrigation,Individual AC,
"water [[a-z]*\s{0,1}]{0,1}conflict(s|)",Technology&Infrastructure,Access To Irrigation,Individual AC,
"water [[a-z]*\s{0,1}]{0,1}consumption[a-z]*",Technology&Infrastructure,Farm Characteristics,Individual AC,
water distribution,Technology&Infrastructure,Access To Irrigation,Individual AC,
water insecurit[a-z]*,Technology&Infrastructure,Access To Irrigation,Individual AC,
water management[a-z]*,Economic&Financial,Farm Characteristics,Individual AC,
water right(|s),Technology&Infrastructure,Access To Irrigation,Individual AC,
water scarcity,Technology&Infrastructure,Access To Irrigation,Individual AC,
water stress,Technology&Infrastructure,Access To Irrigation,Individual AC,
water(|-|\s)logging,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"watershed [[a-z]*\s{0,1}]{0,1}program[a-z]*",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
wealth,Economic&Financial,Assets,Individual AC,
weather information,Information&Awareness,Access To Information,Knowledge and Information,
"window [[a-z]*\s{0,1}]{0,1}opportunit[a-z]*",Tcca-Specific ,TCCA-specific ,TCCA-specific ,
worker institution,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"years [[a-z]*\s{0,1}]{0,1}farming",Human Capacity,Farming Experience,Individual AC,
"years [[a-z]*\s{0,1}]{0,1}school[a-z]*",Human Capacity,Education,Individual AC,
young[a-z]*,Human Capacity,Age,Individual AC,
